lang,param,beta,std,k,se,t,p
cro,Intercept,-0.28430942850668267,0.060883124657113145,164,0.004754173306617155,-59.80207497083943,0.0
cro,nx,0.1557591216341353,0.006656328919037814,164,0.0005197719638270271,299.6681861932241,0.0
cro,ny,-0.01772925492134577,0.003911288617150645,164,0.00030542032858625005,-58.0487061991326,0.0
cro,other,-0.014713851805725741,0.042855667879436815,164,0.003346465435490174,-4.3968336411550375,9.873306255903103e-06
cro,self,-0.07452855302972852,0.045929966853380896,164,0.0035865278534557388,-20.780140591385003,0.0
cro,turn_delta_other,0.0018793297631719335,0.00789133271949772,164,0.0006162095585593015,3.0498224785181978,0.001336569480282157
cro,turn_delta_self,0.011770516241889238,0.010477321356229915,164,0.000818141345359129,14.386898191439629,0.0
deu,Intercept,-0.1925270014483021,0.1220170441709792,120,0.011138581248758257,-17.284696959926134,0.0
deu,nx,0.16598089086875722,0.008615846149896168,120,0.0007865155480486946,211.03319734816105,0.0
deu,ny,-0.02635929829301735,0.006556006801471332,120,0.000598478802053857,-44.04382945988667,0.0
deu,other,0.07948736673994405,0.12262350585130029,120,0.01119394337252065,7.100926286180159,4.8804738028707106e-11
deu,self,-0.15483729564975027,0.09615271123049493,120,0.008777501484370398,-17.640247162072296,0.0
deu,turn_delta_other,-0.01435042418297686,0.02145563618158903,120,0.0019586226537133865,-7.326793732202394,1.5387358054397282e-11
deu,turn_delta_self,0.02577843373898077,0.018932800236535544,120,0.0017283202943816104,14.915310444933612,0.0
eng,Intercept,-0.17868373373370816,0.11680453761260655,216,0.007947542133128102,-22.482892288031113,0.0
eng,nx,0.15775689681941565,0.008367561320419258,216,0.0005693404340687844,277.08711234859595,0.0
eng,ny,-0.024183631900742294,0.006388615145299664,216,0.0004346902019166886,-55.63417761456067,0.0
eng,other,0.05704133135480417,0.09919605522530249,216,0.0067494366610814475,8.451272931223354,2.220446049250313e-15
eng,self,-0.13083941500239035,0.08592437810737548,216,0.005846413411917769,-22.379432616871988,0.0
eng,turn_delta_other,-0.008485208911267986,0.018643347529214732,216,0.001268519126220933,-6.689066594168285,9.561229585841602e-11
eng,turn_delta_self,0.024096711612903794,0.02124025208131722,216,0.0014452161002032106,16.673431474722413,0.0
fin,Intercept,0.02770718781921957,0.35070214313215353,85,0.03803898823382098,0.7283891897677954,0.23420056852572102
fin,nx,0.15453061255061146,0.014830663917608624,85,0.001608611356700732,96.0646037384408,0.0
fin,ny,-0.020520200633456262,0.009769959923644439,85,0.0010597009395530556,-19.36414309692974,0.0
fin,other,-0.2600964479043526,0.3733376976063776,85,0.040494158831357256,-6.423060891017769,3.811719384572143e-09
fin,self,-0.2802148971971714,0.4103386071085838,85,0.04450747095036738,-6.295906984012948,6.662752238817404e-09
fin,turn_delta_other,0.05853206235799199,0.13776208501906978,85,0.014942396086619722,3.9171804855584678,9.089044092647214e-05
fin,turn_delta_self,0.06022453559534056,0.1664920929317146,85,0.01805860297143155,3.33494986797234,0.0006357615843849418
fra,Intercept,-0.31697566868889193,0.08508809602160909,60,0.010984825961739652,-28.855775211452958,0.0
fra,nx,0.1664613047743662,0.006335022314365171,60,0.0008178478640462892,203.53578225515142,0.0
fra,ny,-0.018790461279246627,0.0030968790024979696,60,0.00039980536006313576,-46.99902291524883,0.0
fra,other,0.0025059521048952146,0.05475457811167281,60,0.007068785638504064,0.35450956261074823,0.36211051428278274
fra,self,-0.08096849000281531,0.04564206863115066,60,0.0058923657231634155,-13.741253310961495,0.0
fra,turn_delta_other,-0.00026431448221589225,0.009282252317275702,60,0.0011983336213368,-0.22056836052136838,0.41309501485445677
fra,turn_delta_self,0.01243869171276822,0.007110505928225397,60,0.0009179623681042024,13.550328580960132,0.0
ko,Intercept,-0.10659869930081761,0.10429398031242412,100,0.010429398031242413,-10.220982935111829,0.0
ko,nx,0.16027895609594714,0.008649903240134094,100,0.0008649903240134094,185.2956636003508,0.0
ko,ny,-0.02957735883710673,0.0055433229986506195,100,0.000554332299865062,-53.35672996920183,0.0
ko,other,0.08652591448552352,0.17863952033924826,100,0.017863952033924827,4.843604277553202,2.357114378459535e-06
ko,self,-0.2050043893472322,0.1337617179245777,100,0.013376171792457769,-15.326088250662652,0.0
ko,turn_delta_other,-0.01702795223438203,0.03428922690270874,100,0.003428922690270874,-4.9659772973875,1.427915500284982e-06
ko,turn_delta_self,0.03290543816511415,0.030286509558629087,100,0.0030286509558629087,10.864717870976614,0.0
spa,Intercept,-0.229801489827348,0.11537425474750967,317,0.0064800637382812,-35.46284405657737,0.0
spa,nx,0.1540264277941633,0.007710438288520817,317,0.0004330613590444637,355.66883208887026,0.0
spa,ny,-0.018759168990480975,0.0063470993999212195,317,0.0003564886183204892,-52.62206989625731,0.0
spa,other,0.027730641386732202,0.09439937997170482,317,0.005301997403229829,5.230225380691335,1.543731608100174e-07
spa,self,-0.15466303983525134,0.09220328546290923,317,0.005178652447083172,-29.86549906865518,0.0
spa,turn_delta_other,-0.006633226346364175,0.01627286391130839,317,0.000913975094187383,-7.257557004068901,1.5374368445009168e-12
spa,turn_delta_self,0.02278443311424713,0.023153923860821976,317,0.001300453924818742,17.52036937211969,0.0
yid,Intercept,3.780651489755719,7.410791408849555,27,1.4262074716024855,2.650842577277892,0.0067443372421428505
yid,nx,0.13879008727002023,0.045160215222547186,27,0.008691087471799685,15.969242942308188,2.886579864025407e-15
yid,ny,-0.020828093225713565,0.06293873232847125,27,0.012112564684098891,-1.71954443744323,0.04870005259833654
yid,other,-1.8576266839722886,8.492002122883267,27,1.634286570535176,-1.13665908872027,0.13302449417672213
yid,self,-12.241793134584839,27.134646815345953,27,5.222065214401802,-2.344243633883297,0.013490480848872943
yid,turn_delta_other,1.1159659460202163,6.056783690849267,27,1.1656285647783864,0.9573941302926012,0.17359339299347265
yid,turn_delta_self,5.463279892035867,22.971960693041826,27,4.420955896647067,1.2357689196083856,0.11379688852737824
zho,Intercept,-0.016246531494785024,0.1345523894058777,200,0.009514290697374908,-1.7075925060044268,0.04463576060170804
zho,nx,0.11644902884908064,0.008528767260091963,200,0.0006030749164772838,193.09214438778096,0.0
zho,ny,-0.027443785865049263,0.005347375722501017,200,0.0003781165634932783,-72.58022661452948,0.0
zho,other,0.02217153424508499,0.0956482866664505,200,0.006763355211072198,3.2781856864161547,0.0006165015021940556
zho,self,-0.1427025456082332,0.09668207238757423,200,0.0068364549004422395,-20.873763915125366,0.0
zho,turn_delta_other,-0.004301853253178884,0.01646974552280312,200,0.0011645868743590867,-3.693887805103716,0.00014265732945661913
zho,turn_delta_self,0.023150319827845715,0.019741843440291704,200,0.0013959591369753425,16.583809092009712,0.0
